DX,DATE,UTC,FREQUENCY,MODE,RST,WKD,PATH,SUBMITTER,REMARKS,SQSL,RQSL,QSL_info
1TW252,16/05/2025,15:48,27525,USB,5/9,WKD,SP,30AT213,"Gracias 73's",2025-05-20,2025-05-24,
90VOG010,16/05/2025,15:24,27570,USB,5/7,WKD,SP,30AT213,"Thanks 73's",2025-05-20,,
163AT011,16/05/2025,14:52,27575,USB,4/1,WKD,SP,30AT213,"Thanks 73's",,,
14KM8310,16/05/2025,14:44,27575,USB,5/8,WKD,SP,30AT213,"Gracias 73's",2025-05-20,,
15AT018,16/05/2025,14:37,27575,USB,5/5,WKD,SP,30AT213,"Thanks 73's",2025-05-20,,
15SG015,16/05/2025,14:38,27525,USB,5/9,WKD,SP,30AT213,"Thanks 73's",,,
104AT104,16/05/2025,14:23,27570,USB,5/4,WKD,SP,30AT213,"Thanks 73's",,,
14RC024,16/05/2025,14:23,27520,USB,5/7,WKD,SP,30AT213,"Thanks 73's",2025-05-20,2025-05-21,
1AT1121,14/05/2025,16:48,27670,USB,5/9+40dB,WKD,SP,30AT213,"Thanks 73's",2025-05-20,,
163WU136,17/05/2025,08:09,27560,USB,5/1,WKD,SP,30AT213,"Thanks 73's",2025-05-20,,
163FB075,17/05/2025,08:05,27565,USB,5/6,WKD,SP,30AT213,"Thanks 73's",2025-05-20,,
1AT1961,17/05/2025,07:58,27655,USB,5/7,WKD,SP,30AT213,"Thanks 73's",,,
1WM/ES06,17/05/2025,07:42,27480,USB,5/6,WKD,SP,30AT213,"Thanks 73's",,,
1AT1602,17/05/2025,09:16,27520,USB,5/5,WKD,SP,30AT213,"Thank You for the QSO 73",2025-05-17,2025-05-19,
31PAT204,16/05/2025,16:13,27525,USB,5/9,WKD,SP,30AT213,"Thank You for the QSO 73",2025-05-16,2025-05-16,
14EK034,16/05/2025,16:54,27540,USB,5/9,WKD,SP,30AT213,"Thank You for the QSO 73",2025-05-16,2025-05-16,
14VD163,16/05/2025,17:03,27540,USB,5/9,WKD,SP,30AT213,"Thank You for the QSO 73",2025-05-16,2025-05-16,
14RO520,16/05/2025,20:06,27540,USB,5/9,WKD,SP,30AT213,"Thank You for the QSO 73",2025-05-16,2025-05-16,
1SD120,16/05/2025,16:34,27565,USB,5/5,WKD,SP,30AT213,"Thank You for the QSO 73",2025-05-16,2025-05-16,
1WM310,16/05/2025,15:36,27570,USB,5/5,WKD,SP,30AT213,"Thank You for the QSO 73",2025-05-16,2025-05-16,
14KM8310,16/05/2025,14:48,27575,USB,4/5,WKD,SP,30AT213,"Thank You for the QSO 73",2025-05-16,2025-05-16,
12CI111,14/05/2025,18:17,27530,USB,5/4,WKD,SP,30AT213,"Gracias 73's",2025-05-14,2025-05-15,
5SD/VE3,14/05/2025,17:18,27585,USB,5/7,WKD,SP,30AT213,"Gracias 73's",,,
3SD055,13/05/2025,16:52,27600,USB,5/4,WKD,SP,30AT213,73'S,,,
3SD/VE1,11/05/2025,19:18,27610,USB,5/7,WKD,SP,30AT213,"Thanks 73's",,,
3B3,11/05/2025,19:16,27570,USB,5/7,WKD,SP,30AT213,73'S,2025-05-14,,
75RC/EU003,11/05/2025,18:51,27510,USB,5/7,WKD,SP,30AT213,"Gracias 73's",,,
5SD011,13/05/2025,19:11,27585,USB,5/7,WKD,SP,30AT213,"73’s Alex",2025-05-14,2025-05-14,
15AL24,07/05/2025,15:24,27560,USB,5/7,WKD,SP,30AT213,"Gracias 73's",2025-05-07,2025-05-07,
76/14AT135,07/05/2025,15:18,27570,USB,5/7,WKD,SP,30AT213,"Gracias 73's",,,
1AT040,07/05/2025,15:08,27510,USB,5/8,WKD,SP,30AT213,"Gracias 73's",2025-05-20,,
1DA101,07/05/2025,14:52,27560,USB,5/7,WKD,SP,30AT213,"Gracias 73's",2025-05-07,2025-05-07,
16SA/NA,07/05/2025,16:05,27575,USB,5/7,WKD,SP,30AT213,,,,
165DA/TG021,07/05/2025,14:25,27705,USB,5/8,WKD,SP,30AT213,,,,
